original address,Latitude,Longitude,,coordinates
170 WEST TASMAN DR SAN JOSE CA 95134-1706,37.408438,-121.953964,,"37.408438,-121.953964"
19975 VICTOR PARKWAY LIVONIA MI 48152,42.432786,-83.425498,,"42.432786,-83.425498"
600 TOWNSEND STSTE 310W,39.43551,-75.646593,,"39.43551,-75.646593"
RUA VERBO DIVINO 13561 ANDAR,,,,","
600 WILLOWBROOK OFFICE PARK FAIRPORT NY 14450,43.035869,-77.455098,,"43.035869,-77.455098"
10 10TH STREET NESUITE 525,33.781481,-84.386625,,"33.781481,-84.386625"
5400 WESTHEIMER COURT HOUSTON TX 77056,29.740453,-95.472401,,"29.740453,-95.472401"
894 ROSS AVENUE SUNNYVALE CA 94089,37.400858,-122.033265,,"37.400858,-122.033265"
701 FIRST AVENUE SUNNYVALE CA 94089,37.41882,-122.025712,,"37.41882,-122.025712"
11200 MURRAY SCHOLLS PLACE BEAVERTON OR 97007,45.438771,-122.827828,,"45.438771,-122.827828"
4850 W. FLAMINGO ROAD#23,36.116765,-115.206279,,"36.116765,-115.206279"
303 W WALLSUITE 1800,38.654276,-94.350453,,"38.654276,-94.350453"
333 CLAY STREETSUITE 700,42.322036,-111.295943,,"42.322036,-111.295943"
101-C N. GREENVILLE AVENUESUITE 255,40.110725,-84.631351,,"40.110725,-84.631351"
"880 THIRD AVENUE,  6TH FLOOR NEW YORK NY 10017",40.758023,-73.969549,,"40.758023,-73.969549"
410 TERRY AVENUE NORTH SEATTLE WA 98109,47.622279,-122.336829,,"47.622279,-122.336829"
2125 O'NEL DRIVE SAN JOSE CA 95131,37.374108,-121.924104,,"37.374108,-121.924104"
470 EAST PACES FERRY ROAD NE ATLANTA GA 30305,33.839286,-84.372804,,"33.839286,-84.372804"
600 NICKERSON RD MARLBORO MA 01752,42.334299,-71.595947,,"42.334299,-71.595947"
12061 BLUEMONT WAYATTN: GENERAL COUNSEL,42.60337,-73.665394,,"42.60337,-73.665394"
450 W 33RD ST16TH FL,27.664827,-81.515754,,"27.664827,-81.515754"
5300 CALIFORNIA AVENUE IRVINE CA 92617-3038,33.638184,-117.851462,,"33.638184,-117.851462"
PO BOX 6570 EDISON NJ 08818,40.526424,-74.386982,,"40.526424,-74.386982"
10380 BREN ROAD WEST MINNETONKA MN 55343,44.899686,-93.409734,,"44.899686,-93.409734"
2065 HAMILTON AVENUE SAN JOSE CA 95125,37.29546,-121.927551,,"37.29546,-121.927551"
132 WEST 31ST STREET NEW YORK NY 10001,40.748301,-73.990655,,"40.748301,-73.990655"
PO BOX 029006 FORT LAUDERDALE FL 33302,26.119336,-80.12908,,"26.119336,-80.12908"
"10930 W. SAM HOUSTON PKWYN., SUITE 200",29.922889,-95.553576,,"29.922889,-95.553576"
"601 108TH AVE NE, SUITE 1000 BELLEVUE WA 98004",47.615966,-122.196759,,"47.615966,-122.196759"
885 THIRD AVENUESUITE 2921,38.421846,-82.444446,,"38.421846,-82.444446"
10900 NE 8TH STREETSUITE 800,47.617875,-122.194052,,"47.617875,-122.194052"
110 RIO ROBLES SAN JOSE CA 95134,37.403271,-121.947098,,"37.403271,-121.947098"
"6000 SW MEADOWS RD, SUITE #200 LAKE OSWEGO OR 97035",45.417178,-122.73859,,"45.417178,-122.73859"
RIVER DRIVE CENTER 2669 RIVER DR,40.898744,-74.125118,,"40.898744,-74.125118"
400 CHESTER FIELD PARKWAY MALVERN PA 19355,40.061858,-75.513929,,"40.061858,-75.513929"
1301 SOUTH MOPAC EXPRESSWAY AUSTIN TX 78746,30.262049,-97.788186,,"30.262049,-97.788186"
25 ORINDA WAY ORINDA CA 94563,37.882283,-122.188996,,"37.882283,-122.188996"
500-512 SEVENTH AVE NEW YORK NY 10018,40.753421,-73.989216,,"40.753421,-73.989216"
2 HARRISON STREET2ND FLOOR,40.965492,-73.721861,,"40.965492,-73.721861"
18872 MACARTHUR BLVDSUITE 200,33.674274,-117.861862,,"33.674274,-117.861862"
17304 PRESTON ROADSUITE 700,32.986661,-96.802381,,"32.986661,-96.802381"
